Message Body,Label
leptop ada jual,umum_teknis
udah jadi min ke?,tanya_status
pc nye okey ya,setuju
bisa nego  ndak?,umum_teknis
berapa harga keyboard sik?,umum_teknis
kerjakan gak apa,setuju
garansi min,umum_teknis
bisa nego keyboard bg?,umum_teknis
ssd buka jam ndak?,umum_teknis
saye ga jadi dulu,batal
min buka jam bg?,umum_teknis
ada jual bang,umum_teknis
bisa nego keyboard ndak?,umum_teknis
garansi toko ya?,umum_teknis
udah betul,tanya_status
gak usah servisnye uangnye kepake,batal
min setuju sih,setuju
udah jadi bg?,tanya_status
berapak biaye bang ya?,umum_teknis
okey jak sih,setuju
leptopnye udah idup ke?,tanya_status
udah kelar min lom?,tanya_status
tutup jam ssd bg?,umum_teknis
bang progress lom?,tanya_status
udah idup leptopnye bg?,tanya_status
ada jual lcd,umum_teknis
bang ngape bang?,umum_teknis
deal bang bang,setuju
lcd berapak biaye ya?,umum_teknis
garansi bang bg?,umum_teknis
gausah kamek duitnye tadak,batal
ganti pc nye sih,setuju
kerjakan bang ya,setuju
berapak biaye sik?,umum_teknis
min kapan selesai belum?,tanya_status
leptopnye sikat lok,setuju
servisnye ndak usah bang,batal
sik jadi servisnye lok,batal
bang kapan selesai bg?,tanya_status
saye ga jadi,batal
lcd tutup jam bang?,umum_teknis
berapak biaye keyboard bg?,umum_teknis
leptopnye bisa diambil bg?,tanya_status
sip min bang,setuju
leptopnye okey,setuju
deal leptopnye jak bang,setuju
sik jadi kamek lok,batal
bang garansi ndak?,umum_teknis
bg setuju sih,setuju
bisa nego ssd bang?,umum_teknis
kapan selesai belum?,tanya_status
berapa harga lcd bang?,umum_teknis
bang sikat ya,setuju
iya sih,setuju
proses ndak pe,setuju
min proses bang,setuju
min gausah duitnye tadak,batal
kapan selesai min lom?,tanya_status
ok jak ya,setuju
sik jadi bang uangnye kepake,batal
udah kelar bang bg?,tanya_status
kenapa ssd bang?,umum_teknis
udah kelar leptopnye,tanya_status
gausah kamek lok,batal
kapan selesai bang bg?,tanya_status
bisa benerin min ya?,umum_teknis
buka jam ram,umum_teknis
bisa nego ndak?,umum_teknis
bang setuju jak bang,setuju
udah idup bang?,tanya_status
ok leptopnye jak bang,setuju
leptop garansi bang?,umum_teknis
min gak usah,batal
okee gak apa,setuju
bisa nego leptop ndak?,umum_teknis
sik usah kamek lok,batal
ssd berapak biaye sik?,umum_teknis
berapak biaye bang ndak?,umum_teknis
udah jadi  hari ini?,tanya_status
udah kelar  ke?,tanya_status
leptop bisa nego bg?,umum_teknis
bang berapak biaye bang?,umum_teknis
servisnye ndak jadi lok,batal
pc nye udah betul,tanya_status
ram ngape sik?,umum_teknis
min berapak biaye ya?,umum_teknis
sik usah servisnye duitnye tadak,batal
progress lom?,tanya_status
udah selesai bang,tanya_status
ram garansi bang?,umum_teknis
leptopnye okee ya,setuju
min oke ndak pe,setuju
garansi leptop bg?,umum_teknis
lcd ngape ya?,umum_teknis
ga jadi min kemahalan,batal
bang ga jadi duitnye tadak,batal
ada jual leptop,umum_teknis
toko garansi bg?,umum_teknis
kenapa min bg?,umum_teknis
min progress,tanya_status
gausah saye kemahalan,batal
bang iya ndak pe,setuju
pc nye kapan selesai lom?,tanya_status
bang kerjakan,setuju
servisnye gimana,tanya_status
bisa nego keyboard ya?,umum_teknis
sikat min jak bang,setuju
udah selesai bang bang?,tanya_status
oke bg ndak pe,setuju
okey bg gak apa,setuju
berapa harga ssd sik?,umum_teknis
tunda servisnye,batal
sikat pc nye ya,setuju
okee sih,setuju
bisa diambil,tanya_status
ganti jak ya,setuju
ssd tutup jam ndak?,umum_teknis
cancel min uangnye kepake,batal
udah betul  hari ini?,tanya_status
pc nye iya lok,setuju
udah idup min bang?,tanya_status
okee pc nye ya,setuju
setuju jak sih,setuju
udah selesai min,tanya_status
ngape leptop sik?,umum_teknis
toko ngape bang?,umum_teknis
sik jadi servisnye dulu,batal
kapan selesai leptopnye ke?,tanya_status
buka jam bang bg?,umum_teknis
gausah  lok,batal
leptopnye udah kelar belum?,tanya_status
leptopnye bisa diambil belum?,tanya_status
ada jual,umum_teknis
udah idup bang lom?,tanya_status
min udah selesai bg?,tanya_status
tutup jam leptop bang?,umum_teknis
buka jam keyboard bang?,umum_teknis
udah idup pc nye ke?,tanya_status
progress servisnye lom?,tanya_status
ssd garansi ya?,umum_teknis
gausah min lok,batal
servisnye gimana ke?,tanya_status
cancel dulu,batal
saye gausah bang,batal
buka jam  ndak?,umum_teknis
gak usah bang bang,batal
gimana leptopnye belum?,tanya_status
garansi,umum_teknis
min sik usah dulu,batal
iya min jak bang,setuju
ssd bisa benerin sik?,umum_teknis
gak jadi servisnye duitnye tadak,batal
bang udah betul bg?,tanya_status
leptopnye sampai mana hari ini?,tanya_status
udah jadi lom?,tanya_status
leptop berapak biaye bang?,umum_teknis
pc nye okee sih,setuju
sik usah bang dulu,batal
kapan selesai min bg?,tanya_status
udah idup pc nye lom?,tanya_status
ndak usah bang duitnye tadak,batal
servisnye progress ke?,tanya_status
tutup jam min,umum_teknis
buka jam bang ndak?,umum_teknis
min udah idup ke?,tanya_status
gimana leptopnye bang?,tanya_status
ada jual toko ndak?,umum_teknis
udah kelar bang ke?,tanya_status
bisa diambil min,tanya_status
proses leptopnye ndak pe,setuju
udah kelar bang belum?,tanya_status
saye cancel,batal
cancel  duitnye tadak,batal
lcd kenapa ya?,umum_teknis
kenapa leptop ndak?,umum_teknis
bang ngape bg?,umum_teknis
udah betul  belum?,tanya_status
oke leptopnye gak apa,setuju
sip pc nye bang,setuju
berapa harga toko bg?,umum_teknis
bang sip lok,setuju
min bisa benerin ndak?,umum_teknis
pc nye proses lok,setuju
kamek gak usah kemahalan,batal
ok leptopnye lok,setuju
min cancel bang,batal
tunda saye kemahalan,batal
min gak usah kemahalan,batal
tutup jam leptop ndak?,umum_teknis
bisa diambil ke?,tanya_status
servisnye batal dulu,batal
oke  ndak pe,setuju
sip bg,setuju
bang bisa benerin bg?,umum_teknis
kamek gak jadi bg,batal
min tunda duitnye tadak,batal
bang okee gak apa,setuju
udah selesai bang?,tanya_status
okey bang ya,setuju
progress servisnye,tanya_status
berapa harga  bg?,umum_teknis
pc nye udah jadi hari ini?,tanya_status
min ndak usah lok,batal
gimana min hari ini?,tanya_status
sikat min gak apa,setuju
tutup jam toko ndak?,umum_teknis
bang sik jadi bang,batal
udah kelar  bg?,tanya_status
ok jak ndak pe,setuju
ram kenapa,umum_teknis
deal lok,setuju
setuju leptopnye gak apa,setuju
udah selesai min bang?,tanya_status
ndak usah saye dulu,batal
udah betul bang hari ini?,tanya_status
berapa harga ssd ndak?,umum_teknis
gak usah kamek lok,batal
bisa nego min bang?,umum_teknis
berapa harga lcd,umum_teknis
garansi ssd bang?,umum_teknis
pc nye lanjut gak apa,setuju
sip min,setuju
bisa diambil leptopnye hari ini?,tanya_status
gak jadi min dulu,batal
buka jam bang bang?,umum_teknis
bang okey ya,setuju
sampai mana servisnye hari ini?,tanya_status
ndak usah  kemahalan,batal
udah selesai ke?,tanya_status
deal jak,setuju
bang proses bang,setuju
min gausah uangnye kepake,batal
servisnye kapan selesai bang?,tanya_status
min batal bg,batal
okey  lok,setuju
servisnye udah kelar lom?,tanya_status
bang ganti bang,setuju
bisa diambil bang belum?,tanya_status
toko garansi,umum_teknis
servisnye gimana belum?,tanya_status
saye gak usah bg,batal
bisa nego toko ndak?,umum_teknis
gimana bang ke?,tanya_status
tutup jam lcd ya?,umum_teknis
iya gak apa,setuju
toko bisa nego ya?,umum_teknis
udah idup servisnye ke?,tanya_status
sik jadi min bang,batal
berapak biaye ram ndak?,umum_teknis
saye ndak usah,batal
bang progress bang?,tanya_status
min sampai mana bg?,tanya_status
leptopnye ganti lok,setuju
oke min lok,setuju
servisnye gausah kemahalan,batal
iya pc nye lok,setuju
ngape toko ndak?,umum_teknis
min gak jadi bang,batal
servisnye udah jadi belum?,tanya_status
tunda bang duitnye tadak,batal
bang progress,tanya_status
jak ganti ndak pe,setuju
bisa diambil servisnye ke?,tanya_status
leptop tutup jam ya?,umum_teknis
deal bg ya,setuju
ndak jadi min bang,batal
min ndak usah dulu,batal
pc nye oke sih,setuju
berapak biaye toko ndak?,umum_teknis
ada jual toko bg?,umum_teknis
keyboard tutup jam,umum_teknis
sampai mana servisnye bg?,tanya_status
ram tutup jam sik?,umum_teknis
